KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
File Created:10/6/2015 1:08:22 PM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,
Site,site_051915_124203,,,,,,,,,,,,,,,,,,,,,,,
Template,LTK_15D100070_100615_121110,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Default,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Press psi a,Depth m
10/6/2015,16:02:52,0,site_051915_124203,0,5.8,0,7.73,-40.6,119.9,119.9,0.34,1.36,0.17,0.46,24.435,8.9,9,0,9,6,91.5,7.64,-1.348,-0.95
10/6/2015,16:02:54,0,site_051915_124203,0,5.8,0,7.57,-31.2,120.1,120.1,0.35,1.42,0.15,0.41,24.433,8.9,9,0,9,6,91.5,7.64,-1.347,-0.95
10/6/2015,16:02:56,0,site_051915_124203,0,5.8,0,7.48,-26.2,120.1,120.1,0.35,1.41,0.13,0.37,24.427,8.9,9,0,9,6,91.6,7.65,-1.347,-0.95
10/6/2015,16:02:58,0,site_051915_124203,0,5.8,0,7.59,-32.6,124.4,124.4,0.36,1.45,0.13,0.37,24.42,8.9,9,0,9,6,91.7,7.66,-1.347,-0.95
10/6/2015,16:03:00,0,site_051915_124203,0,5.8,0,7.46,-24.7,121.1,121.1,0.37,1.48,0.13,0.36,24.406,8.9,9,0,9,6,91.7,7.66,-1.347,-0.95
10/6/2015,16:03:02,0,site_051915_124203,0,5.8,0,7.54,-29.6,123.3,123.3,0.38,1.54,0.13,0.36,24.385,8.9,9,0,9,6,91.9,7.68,-1.347,-0.95
10/6/2015,16:03:04,0,site_051915_124203,0,5.8,0,7.5,-27.6,123.9,123.9,0.38,1.5,0.14,0.38,24.36,8.9,9,0,9,6,92,7.69,-1.347,-0.95
10/6/2015,16:03:06,0,site_051915_124203,0,5.8,0,7.69,-38.3,123.7,123.7,0.38,1.5,0.12,0.32,24.334,8.9,9,0,9,6,92.1,7.7,-1.347,-0.949
10/6/2015,16:03:08,0,site_051915_124203,0,5.8,0,7.65,-35.9,122.9,122.9,0.36,1.45,0.12,0.33,24.311,8.9,9,0,9,6,92.2,7.72,-1.346,-0.949
10/6/2015,16:03:10,0,site_051915_124203,0,5.8,0,7.71,-39.3,115.8,115.8,0.37,1.49,0.12,0.33,24.291,8.9,9,0,9,6,92.3,7.73,-1.346,-0.949
10/6/2015,16:03:12,0,site_051915_124203,0,5.8,0,7.76,-42.2,115.1,115.1,0.35,1.4,0.12,0.34,24.281,8.9,9,0,9,6,92.5,7.74,-1.346,-0.949
10/6/2015,16:03:14,0,site_051915_124203,0,5.8,0,7.71,-39.3,115.9,115.9,0.35,1.41,0.13,0.36,24.28,8.9,9,0,9,6,92.6,7.75,-1.346,-0.949
10/6/2015,16:03:16,0,site_051915_124203,0,5.8,0,7.73,-40.6,115.3,115.3,0.35,1.39,0.14,0.4,24.287,8.9,9,0,9.1,6,92.7,7.76,-1.346,-0.949
10/6/2015,16:03:18,0,site_051915_124203,0,5.8,0,7.83,-46.4,114.6,114.6,0.36,1.44,0.14,0.39,24.3,8.9,9,0,9,6,92.8,7.77,-1.346,-0.949
10/6/2015,16:03:20,0,site_051915_124203,0,5.8,0,7.76,-42.4,113.6,113.6,0.37,1.47,0.14,0.39,24.319,8.9,9,0,9.1,6,93,7.78,-1.346,-0.949
10/6/2015,16:03:22,0,site_051915_124203,0,5.8,0,7.89,-50.2,112.9,112.9,0.38,1.52,0.13,0.36,24.344,9,9.1,0,9.1,6,93.1,7.79,-1.346,-0.949
10/6/2015,16:03:24,0,site_051915_124203,0,5.8,0,8.03,-58.5,104.2,104.2,0.39,1.56,0.12,0.34,24.368,9,9.1,0,9.1,6,93.1,7.79,-1.346,-0.949
10/6/2015,16:03:26,0,site_051915_124203,0,5.8,0,8.02,-57.8,108.5,108.5,0.38,1.54,0.13,0.36,24.393,9,9.1,0,9.1,6,93.2,7.79,-1.346,-0.949
10/6/2015,16:03:28,0,site_051915_124203,0,5.8,0,7.99,-55.9,108.8,108.8,0.39,1.57,0.12,0.33,24.422,9.1,9.2,0,9.2,6,93.3,7.79,-1.346,-0.949
10/6/2015,16:03:30,0,site_051915_124203,0,5.8,0,8.06,-59.8,105.2,105.2,0.39,1.57,0.1,0.29,24.45,9.1,9.2,0,9.2,6,93.3,7.79,-1.346,-0.949
10/6/2015,16:03:32,0,site_051915_124203,0,5.8,0,7.86,-48.1,108,108,0.38,1.53,0.1,0.29,24.478,9.2,9.3,0,9.3,6,93.3,7.79,-1.345,-0.949
10/6/2015,16:03:34,0,site_051915_124203,0,5.8,0,8,-56.7,107.7,107.7,0.38,1.5,0.09,0.25,24.504,9.2,9.3,0,9.3,6,93.4,7.79,-1.345,-0.949
10/6/2015,16:03:36,0,site_051915_124203,0,5.8,0,7.95,-53.8,107.5,107.5,0.37,1.49,0.09,0.26,24.53,9.1,9.2,0,9.2,6,93.4,7.79,-1.345,-0.949
10/6/2015,16:03:38,0,site_051915_124203,0,5.8,0,7.98,-55.6,107.5,107.5,0.36,1.45,0.08,0.22,24.554,9.1,9.2,0,9.2,6,93.4,7.78,-1.345,-0.949
10/6/2015,16:03:40,0,site_051915_124203,0,5.8,0,7.95,-53.7,107.6,107.6,0.36,1.45,0.07,0.19,24.575,9.1,9.2,0,9.2,6,93.4,7.78,-1.345,-0.949
10/6/2015,16:03:42,0,site_051915_124203,0,5.8,0,7.95,-53.7,107.8,107.8,0.36,1.46,0.07,0.2,24.593,9.2,9.2,0,9.3,6,93.4,7.78,-1.345,-0.949
10/6/2015,16:03:44,0,site_051915_124203,0,5.8,0,7.96,-54.4,106,106,0.38,1.5,0.07,0.2,24.61,9.2,9.3,0,9.3,6,93.4,7.78,-1.345,-0.949
10/6/2015,16:03:46,0,site_051915_124203,0,5.8,0,7.97,-55,110.5,110.5,0.38,1.5,0.06,0.17,24.622,9.2,9.3,0,9.3,6,93.4,7.78,-1.345,-0.949
10/6/2015,16:03:48,0,site_051915_124203,0,5.8,0,7.78,-43.7,112.5,112.5,0.37,1.47,0.07,0.18,24.64,9.3,9.3,0,9.3,6,93.4,7.77,-1.345,-0.949
10/6/2015,16:03:50,0,site_051915_124203,0,5.8,0,7.69,-38.5,118.6,118.6,0.36,1.44,0.07,0.19,24.653,9.3,9.4,0,9.4,6,93.5,7.77,-1.345,-0.949
10/6/2015,16:03:52,0,site_051915_124203,0,5.8,0,7.56,-30.7,118,118,0.36,1.43,0.07,0.2,24.659,9.3,9.4,0,9.4,6,93.5,7.77,-1.345,-0.949
10/6/2015,16:03:54,0,site_051915_124203,0,5.8,0,7.86,-48.2,105.7,105.7,0.35,1.39,0.07,0.19,24.66,9.7,9.7,0,9.7,6,93.5,7.78,-1.346,-0.949
10/6/2015,16:03:56,0,site_051915_124203,0,5.8,0,8,-56.4,103.4,103.4,0.35,1.41,0.07,0.21,24.657,9.9,10,0,10,7,93.5,7.78,-1.346,-0.949
10/6/2015,16:03:58,0,site_051915_124203,0,5.8,0,7.98,-55.2,106.1,106.1,0.35,1.41,0.09,0.26,24.65,10.3,10.4,0,10.4,7,93.5,7.78,-1.346,-0.949
10/6/2015,16:04:00,0,site_051915_124203,0,5.8,0,7.7,-38.8,105.8,105.8,0.36,1.45,0.09,0.26,24.642,10.8,10.9,0,10.9,7,93.6,7.78,-1.346,-0.949
10/6/2015,16:04:02,0,site_051915_124203,0,5.8,0,7.77,-43.3,103.2,103.2,0.37,1.48,0.09,0.25,24.633,11.4,11.4,0,11.4,7,93.6,7.79,-1.346,-0.949
