KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Created:4/28/2016 11:02:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,LTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Template,LTM_28042016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Rapid,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,,,,,
Turbidity,15E100285,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,26;27,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Turbidity FNU,TSS mg/L,Press psi a,Depth m,,
4/28/2016,10:51:03,0,LTM,0,5.7,0,7.71,-79.5,-65,-65,0.45,1.78,-0.15,-0.43,25.816,4.6,4.5,0,4.5,3,99.6,8.11,14.98,145,-1.361,-0.96,,
4/28/2016,10:51:05,0,LTM,0,5.7,0,7.88,-88.9,-64.1,-64.1,0.35,1.38,-0.13,-0.37,25.782,4.3,4.3,0,4.2,3,99.5,8.1,15.06,147,-1.361,-0.96,,
4/28/2016,10:51:07,0,LTM,0,5.7,0,7.79,-83.8,-63.8,-63.8,0.23,0.91,-0.11,-0.3,25.743,4.2,4.1,0,4.1,3,99.6,8.12,15.11,148,-1.36,-0.959,,
4/28/2016,10:51:09,0,LTM,0,5.7,0,7.78,-83.5,-63.2,-63.2,0.35,1.39,-0.19,-0.53,25.724,4.1,4.1,0,4.1,3,99.7,8.13,15.06,147,-1.361,-0.96,,
4/28/2016,10:51:11,0,LTM,0,5.7,0,7.96,-93.4,-62.5,-62.5,0.33,1.31,-0.14,-0.39,25.722,4,4,0,4,3,100,8.16,15.1,147,-1.36,-0.959,,
4/28/2016,10:51:13,0,LTM,0,5.7,0,7.93,-91.3,-61.5,-61.5,0.31,1.23,-0.23,-0.65,25.762,4,3.9,0,3.9,3,100.3,8.17,14.99,145,-1.36,-0.959,,
4/28/2016,10:51:15,0,LTM,0,5.7,0,7.97,-93.5,-60.9,-60.9,0.32,1.29,-0.21,-0.6,25.804,3.9,3.9,0,3.9,3,100.5,8.18,15.07,147,-1.361,-0.96,,
4/28/2016,10:51:17,0,LTM,0,5.7,0,7.99,-95.1,-60.3,-60.3,0.34,1.38,-0.04,-0.1,25.837,3.9,3.9,0,3.8,3,100.6,8.19,15.2,149,-1.36,-0.959,,
4/28/2016,10:51:19,0,LTM,0,5.7,0,7.9,-89.9,-59.6,-59.6,0.26,1.04,-0.27,-0.75,25.862,3.9,3.8,0,3.8,2,100.5,8.17,15.09,147,-1.362,-0.96,,
4/28/2016,10:51:21,0,LTM,0,5.7,0,7.96,-92.9,-59.4,-59.4,0.33,1.3,-0.3,-0.83,25.881,3.9,3.8,0,3.8,2,100.6,8.18,15.11,148,-1.363,-0.961,,
4/28/2016,10:51:23,0,LTM,0,5.7,0,8.01,-95.8,-59.5,-59.5,0.32,1.27,-0.06,-0.16,25.904,3.9,3.8,0,3.8,2,100.7,8.19,15.14,148,-1.362,-0.96,,
4/28/2016,10:51:25,0,LTM,0,5.7,0,7.91,-90.6,-59.4,-59.4,0.34,1.35,-0.35,-0.98,25.935,3.9,3.8,0,3.8,2,100.9,8.2,15.2,149,-1.362,-0.961,,
4/28/2016,10:51:27,0,LTM,0,5.7,0,7.92,-91.1,-59.4,-59.4,0.28,1.12,-0.08,-0.22,25.941,3.8,3.8,0,3.8,2,100.8,8.19,15.01,146,-1.362,-0.961,,
4/28/2016,10:51:29,0,LTM,0,5.7,0,7.95,-92.5,-59.8,-59.8,0.31,1.24,0.07,0.19,25.96,3.8,3.7,0,3.7,2,100.9,8.19,15.08,147,-1.361,-0.96,,
4/28/2016,10:51:31,0,LTM,0,5.7,0,7.95,-92.8,-59.9,-59.9,0.37,1.49,-0.15,-0.42,25.969,3.8,3.7,0,3.7,2,100.8,8.18,15.09,147,-1.363,-0.961,,
4/28/2016,10:51:33,0,LTM,0,5.7,0,7.91,-90.5,-60.2,-60.2,0.37,1.48,-0.01,-0.04,25.978,3.8,3.7,0,3.7,2,100.6,8.17,15.09,147,-1.363,-0.961,,
4/28/2016,10:51:35,0,LTM,0,5.7,0,7.95,-92.5,-60.2,-60.2,0.39,1.56,-0.15,-0.41,25.991,3.8,3.7,0,3.7,2,100.7,8.17,15.09,147,-1.362,-0.961,,
4/28/2016,10:51:37,0,LTM,0,5.7,0,7.86,-87.5,-60.7,-60.7,0.41,1.66,-0.19,-0.54,26,3.8,3.7,0,3.7,2,100.4,8.15,15.01,146,-1.361,-0.96,,
4/28/2016,10:51:39,0,LTM,0,5.7,0,7.89,-89.1,-60.7,-60.7,0.4,1.61,-0.16,-0.45,26.001,3.7,3.7,0,3.7,2,100.5,8.15,15.12,148,-1.362,-0.96,,
4/28/2016,10:51:41,0,LTM,0,5.7,0,7.83,-86.2,-61.4,-61.4,0.22,0.87,-0.3,-0.83,25.989,3.7,3.7,0,3.6,2,100.4,8.15,15.12,148,-1.362,-0.96,,
4/28/2016,10:51:43,0,LTM,0,5.6,0,7.85,-86.9,-61.7,-61.7,0.29,1.17,-0.25,-0.69,25.988,3.7,3.6,0,3.6,2,100.2,8.14,15.15,148,-1.361,-0.96,,
4/28/2016,10:51:45,0,LTM,0,5.6,0,7.88,-88.6,-61.5,-61.5,0.26,1.04,-0.05,-0.15,25.981,3.7,3.6,0,3.6,2,100.1,8.13,15.2,149,-1.362,-0.961,,
4/28/2016,10:51:47,0,LTM,0,5.6,0,7.88,-89,-61.4,-61.4,0.24,0.94,0,0.01,25.985,3.6,3.6,0,3.6,2,100.2,8.14,15.2,149,-1.362,-0.961,,
4/28/2016,10:51:49,0,LTM,0,5.6,0,7.92,-91,-61.2,-61.2,0.36,1.45,-0.18,-0.5,25.988,3.6,3.6,0,3.6,2,100.3,8.14,15.02,146,-1.361,-0.96,,
4/28/2016,10:51:51,0,LTM,0,5.6,0,7.92,-91.1,-60.9,-60.9,0.35,1.4,-0.13,-0.37,26.001,3.5,3.5,0,3.5,2,100.4,8.15,15.17,149,-1.363,-0.962,,
4/28/2016,10:51:53,0,LTM,0,5.7,0,7.9,-90.1,-60.7,-60.7,0.43,1.73,-0.34,-0.95,26.007,3.7,3.6,0,3.6,2,100.3,8.14,14.46,135,-1.361,-0.96,,
4/28/2016,10:51:55,0,LTM,0,5.7,0,7.71,-79.6,-62.9,-62.9,0.5,1.99,-0.47,-1.33,25.993,3.4,3.4,0,3.4,2,99.2,8.05,14.72,140,-1.362,-0.961,,
4/28/2016,10:51:57,0,LTM,0,5.7,0,7.77,-82.7,-62.7,-62.7,0.77,3.06,-0.08,-0.23,25.946,3.3,3.3,0,3.3,2,98.9,8.03,15.27,151,-1.361,-0.96,,
4/28/2016,10:51:59,0,LTM,0,5.7,0,7.82,-85.7,-61.7,-61.7,0.32,1.3,-0.31,-0.87,25.926,3.3,3.2,0,3.2,2,98.9,8.03,15.26,151,-1.362,-0.961,,
4/28/2016,10:52:01,0,LTM,0,5.7,0,7.68,-77.6,-61.6,-61.6,0.59,2.36,-0.01,-0.03,25.933,3.3,3.2,0,3.2,2,99.1,8.05,14.66,139,-1.362,-0.96,,
4/28/2016,10:52:03,0,LTM,0,5.6,0,7.55,-70.5,-61.9,-61.9,0.34,1.36,-0.18,-0.52,25.914,3.2,3.1,0,3.1,2,98.6,8.01,14.95,144,-1.363,-0.961,,
