KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
File Created:7/3/2015 8:30:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,,
Site,site_051915_124203,,,,,,,,,,,,,,,,,,,,,,,,
Template,deployment_LTM_070315_075425,,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Default,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Press psi a,Depth m,
7/3/2015,10:59:51,0,site_051915_124203,0,5.1,0,9,-115.9,51.2,51.2,0.27,1.09,0.04,0.12,26.461,5.4,5.2,0,5.2,3,89.2,7.18,-1.291,-0.911,
7/3/2015,10:59:53,0,site_051915_124203,0,5.1,0,9,-115.9,51.3,51.3,0.27,1.09,0.05,0.15,26.462,5.4,5.2,0,5.2,3,89.2,7.18,-1.291,-0.91,
7/3/2015,10:59:55,0,site_051915_124203,0,5.1,0,9,-115.9,51.3,51.3,0.28,1.12,0.04,0.12,26.463,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,10:59:57,0,site_051915_124203,0,5.1,0,9,-115.9,51.4,51.4,0.29,1.17,0.04,0.12,26.464,5.4,5.3,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,10:59:59,0,site_051915_124203,0,5.2,0,9,-115.9,51.4,51.4,0.29,1.17,0.04,0.11,26.465,5.4,5.3,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:01,0,site_051915_124203,0,5.2,0,9.01,-115.9,51.5,51.5,0.29,1.15,0.03,0.08,26.467,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:03,0,site_051915_124203,0,5.2,0,9.01,-116,51.5,51.5,0.28,1.12,0.02,0.05,26.468,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:05,0,site_051915_124203,0,5.2,0,9.01,-116,51.6,51.6,0.28,1.11,0.02,0.05,26.469,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:07,0,site_051915_124203,0,5.2,0,9.01,-116,51.7,51.7,0.28,1.11,0.03,0.07,26.471,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:09,0,site_051915_124203,0,5.2,0,9.01,-116,51.8,51.8,0.26,1.06,0.03,0.09,26.472,5.4,5.2,0,5.2,3,89.2,7.18,-1.29,-0.91,
7/3/2015,11:00:11,0,site_051915_124203,0,5.2,0,9.01,-116.1,51.8,51.8,0.26,1.04,0.03,0.08,26.474,5.3,5.2,0,5.2,3,89.2,7.18,-1.289,-0.91,
7/3/2015,11:00:13,0,site_051915_124203,0,5.2,0,9.01,-116,51.9,51.9,0.26,1.03,0.03,0.08,26.477,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.91,
7/3/2015,11:00:15,0,site_051915_124203,0,5.2,0,9.01,-116,52,52,0.26,1.03,0.03,0.09,26.479,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:17,0,site_051915_124203,0,5.2,0,9,-115.9,52.1,52.1,0.26,1.04,0.03,0.1,26.481,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:19,0,site_051915_124203,0,5,0,9,-115.8,52.1,52.1,0.26,1.04,0.04,0.12,26.484,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:21,0,site_051915_124203,0,5,0,9,-115.7,52.2,52.2,0.26,1.03,0.04,0.11,26.486,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:23,0,site_051915_124203,0,5,0,9,-115.6,52.2,52.2,0.26,1.06,0.04,0.1,26.488,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:25,0,site_051915_124203,0,5,0,9,-115.5,52.2,52.2,0.27,1.08,0.04,0.1,26.491,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:27,0,site_051915_124203,0,5,0,9,-115.4,52.2,52.2,0.27,1.07,0.03,0.08,26.493,5.3,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:29,0,site_051915_124203,0,5,0,8.99,-115.3,52.2,52.2,0.27,1.08,0.04,0.1,26.495,5.4,5.2,0,5.2,3,89.2,7.17,-1.289,-0.909,
7/3/2015,11:00:31,0,site_051915_124203,0,5,0,8.99,-115.2,52.2,52.2,0.27,1.07,0.03,0.09,26.497,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.909,
7/3/2015,11:00:33,0,site_051915_124203,0,5,0,8.99,-115,52.2,52.2,0.27,1.1,0.03,0.07,26.5,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.909,
7/3/2015,11:00:35,0,site_051915_124203,0,5,0,8.99,-115,52.2,52.2,0.28,1.11,0.03,0.08,26.502,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.909,
7/3/2015,11:00:37,0,site_051915_124203,0,5,0,8.99,-114.9,52.3,52.3,0.27,1.08,0.03,0.1,26.503,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.909,
7/3/2015,11:00:39,0,site_051915_124203,0,5.1,0,8.99,-114.9,52.3,52.3,0.27,1.08,0.04,0.11,26.505,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:41,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.3,52.3,0.28,1.11,0.05,0.15,26.506,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:43,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.3,52.3,0.27,1.09,0.05,0.13,26.507,5.4,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:45,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.4,52.4,0.28,1.1,0.04,0.11,26.508,5.3,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:47,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.4,52.4,0.27,1.1,0.04,0.11,26.509,5.3,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:49,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.5,52.5,0.26,1.06,0.04,0.11,26.511,5.3,5.2,0,5.2,3,89.2,7.17,-1.288,-0.908,
7/3/2015,11:00:51,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.5,52.5,0.27,1.08,0.05,0.15,26.512,5.3,5.2,0,5.1,3,89.2,7.17,-1.287,-0.908,
7/3/2015,11:00:53,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.6,52.6,0.27,1.07,0.04,0.12,26.513,5.3,5.1,0,5.1,3,89.2,7.17,-1.287,-0.908,
7/3/2015,11:00:55,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.7,52.7,0.28,1.12,0.04,0.11,26.514,5.3,5.1,0,5.1,3,89.2,7.17,-1.287,-0.908,
7/3/2015,11:00:57,0,site_051915_124203,0,5.1,0,8.99,-114.8,52.7,52.7,0.27,1.09,0.03,0.09,26.515,5.3,5.1,0,5.1,3,89.2,7.17,-1.287,-0.908,
7/3/2015,11:00:59,0,site_051915_124203,0,4.9,0,8.99,-114.8,52.8,52.8,0.28,1.11,0.03,0.08,26.516,5.3,5.1,0,5.1,3,89.2,7.17,-1.287,-0.908,
